season_id,team_id,game_type
19721973,AFM,2
19731974,AFM,2
19731974,AFM,3
19741975,AFM,2
19751976,AFM,2
19751976,AFM,3
19761977,AFM,3
19761977,AFM,2
19771978,AFM,3
19771978,AFM,2
19781979,AFM,3
19781979,AFM,2
19791980,AFM,2
19791980,AFM,3
19931994,ANA,2
19941995,ANA,2
19951996,ANA,2
19961997,ANA,3
19961997,ANA,2
19971998,ANA,2
19981999,ANA,2
19981999,ANA,3
19992000,ANA,2
20002001,ANA,2
20012002,ANA,2
20022003,ANA,2
20022003,ANA,3
20032004,ANA,2
20052006,ANA,3
20052006,ANA,2
20062007,ANA,3
20062007,ANA,2
20072008,ANA,2
20072008,ANA,3
20082009,ANA,2
20082009,ANA,3
20092010,ANA,2
20102011,ANA,3
20102011,ANA,2
20112012,ANA,2
20122013,ANA,2
20122013,ANA,3
20132014,ANA,3
20132014,ANA,2
20142015,ANA,2
20142015,ANA,3
20152016,ANA,2
20152016,ANA,3
20162017,ANA,3
20162017,ANA,2
20172018,ANA,2
20172018,ANA,3
20182019,ANA,2
20192020,ANA,2
20202021,ANA,2
20212022,ANA,2
20222023,ANA,2
20232024,ANA,2
20242025,ANA,2
20142015,ARI,2
20152016,ARI,2
20162017,ARI,2
20172018,ARI,2
20182019,ARI,2
20192020,ARI,2
20192020,ARI,3
20202021,ARI,2
20212022,ARI,2
20222023,ARI,2
20232024,ARI,2
19992000,ATL,2
20002001,ATL,2
20012002,ATL,2
20022003,ATL,2
20032004,ATL,2
20052006,ATL,2
20062007,ATL,3
20062007,ATL,2
20072008,ATL,2
20082009,ATL,2
20092010,ATL,2
20102011,ATL,2
19241925,BOS,2
19251926,BOS,2
19261927,BOS,2
19261927,BOS,3
19271928,BOS,2
19271928,BOS,3
19281929,BOS,2
19281929,BOS,3
19291930,BOS,2
19291930,BOS,3
19301931,BOS,3
19301931,BOS,2
19311932,BOS,2
19321933,BOS,2
19321933,BOS,3
19331934,BOS,2
19341935,BOS,2
19341935,BOS,3
19351936,BOS,2
19351936,BOS,3
19361937,BOS,3
19361937,BOS,2
19371938,BOS,3
19371938,BOS,2
19381939,BOS,2
19381939,BOS,3
19391940,BOS,2
19391940,BOS,3
19401941,BOS,2
19401941,BOS,3
19411942,BOS,2
19411942,BOS,3
19421943,BOS,3
19421943,BOS,2
19431944,BOS,2
19441945,BOS,3
19441945,BOS,2
19451946,BOS,3
19451946,BOS,2
19461947,BOS,2
19461947,BOS,3
19471948,BOS,2
19471948,BOS,3
19481949,BOS,3
19481949,BOS,2
19491950,BOS,2
19501951,BOS,3
19501951,BOS,2
19511952,BOS,3
19511952,BOS,2
19521953,BOS,2
19521953,BOS,3
19531954,BOS,2
19531954,BOS,3
19541955,BOS,2
19541955,BOS,3
19551956,BOS,2
19561957,BOS,3
19561957,BOS,2
19571958,BOS,3
19571958,BOS,2
19581959,BOS,3
19581959,BOS,2
19591960,BOS,2
19601961,BOS,2
19611962,BOS,2
19621963,BOS,2
19631964,BOS,2
19641965,BOS,2
19651966,BOS,2
19661967,BOS,2
19671968,BOS,2
19671968,BOS,3
19681969,BOS,3
19681969,BOS,2
19691970,BOS,2
19691970,BOS,3
19701971,BOS,2
19701971,BOS,3
19711972,BOS,2
19711972,BOS,3
19721973,BOS,2
19721973,BOS,3
19731974,BOS,3
19731974,BOS,2
19741975,BOS,3
19741975,BOS,2
19751976,BOS,2
19751976,BOS,3
19761977,BOS,3
19761977,BOS,2
19771978,BOS,2
19771978,BOS,3
19781979,BOS,2
19781979,BOS,3
19791980,BOS,2
19791980,BOS,3
19801981,BOS,3
19801981,BOS,2
19811982,BOS,2
19811982,BOS,3
19821983,BOS,3
19821983,BOS,2
19831984,BOS,2
19831984,BOS,3
19841985,BOS,3
19841985,BOS,2
19851986,BOS,2
19851986,BOS,3
19861987,BOS,3
19861987,BOS,2
19871988,BOS,2
19871988,BOS,3
19881989,BOS,2
19881989,BOS,3
19891990,BOS,2
19891990,BOS,3
19901991,BOS,3
19901991,BOS,2
19911992,BOS,2
19911992,BOS,3
19921993,BOS,3
19921993,BOS,2
19931994,BOS,2
19931994,BOS,3
19941995,BOS,3
19941995,BOS,2
19951996,BOS,3
19951996,BOS,2
19961997,BOS,2
19971998,BOS,2
19971998,BOS,3
19981999,BOS,3
19981999,BOS,2
19992000,BOS,2
20002001,BOS,2
20012002,BOS,2
20012002,BOS,3
20022003,BOS,3
20022003,BOS,2
20032004,BOS,2
20032004,BOS,3
20052006,BOS,2
20062007,BOS,2
20072008,BOS,3
20072008,BOS,2
20082009,BOS,2
20082009,BOS,3
20092010,BOS,3
20092010,BOS,2
20102011,BOS,2
20102011,BOS,3
20112012,BOS,2
20112012,BOS,3
20122013,BOS,2
20122013,BOS,3
20132014,BOS,3
20132014,BOS,2
20142015,BOS,2
20152016,BOS,2
20162017,BOS,2
20162017,BOS,3
20172018,BOS,2
20172018,BOS,3
20182019,BOS,2
20182019,BOS,3
20192020,BOS,3
20192020,BOS,2
20202021,BOS,3
20202021,BOS,2
20212022,BOS,3
20212022,BOS,2
20222023,BOS,3
20222023,BOS,2
20232024,BOS,2
20232024,BOS,3
20242025,BOS,2
19411942,BRK,2
19701971,BUF,2
19711972,BUF,2
19721973,BUF,2
19721973,BUF,3
19731974,BUF,2
19741975,BUF,2
19741975,BUF,3
19751976,BUF,3
19751976,BUF,2
19761977,BUF,3
19761977,BUF,2
19771978,BUF,3
19771978,BUF,2
19781979,BUF,3
19781979,BUF,2
19791980,BUF,3
19791980,BUF,2
19801981,BUF,2
19801981,BUF,3
19811982,BUF,3
19811982,BUF,2
19821983,BUF,3
19821983,BUF,2
19831984,BUF,3
19831984,BUF,2
19841985,BUF,2
19841985,BUF,3
19851986,BUF,2
19861987,BUF,2
19871988,BUF,3
19871988,BUF,2
19881989,BUF,3
19881989,BUF,2
19891990,BUF,2
19891990,BUF,3
19901991,BUF,2
19901991,BUF,3
19911992,BUF,3
19911992,BUF,2
19921993,BUF,3
19921993,BUF,2
19931994,BUF,3
19931994,BUF,2
19941995,BUF,3
19941995,BUF,2
19951996,BUF,2
19961997,BUF,3
19961997,BUF,2
19971998,BUF,3
19971998,BUF,2
19981999,BUF,3
19981999,BUF,2
19992000,BUF,2
19992000,BUF,3
20002001,BUF,2
20002001,BUF,3
20012002,BUF,2
20022003,BUF,2
20032004,BUF,2
20052006,BUF,2
20052006,BUF,3
20062007,BUF,2
20062007,BUF,3
20072008,BUF,2
20082009,BUF,2
20092010,BUF,3
20092010,BUF,2
20102011,BUF,2
20102011,BUF,3
20112012,BUF,2
20122013,BUF,2
20132014,BUF,2
20142015,BUF,2
20152016,BUF,2
20162017,BUF,2
20172018,BUF,2
20182019,BUF,2
20192020,BUF,2
20202021,BUF,2
20212022,BUF,2
20222023,BUF,2
20232024,BUF,2
20242025,BUF,2
19971998,CAR,2
19981999,CAR,2
19981999,CAR,3
19992000,CAR,2
20002001,CAR,3
20002001,CAR,2
20012002,CAR,2
20012002,CAR,3
20022003,CAR,2
20032004,CAR,2
20052006,CAR,3
20052006,CAR,2
20062007,CAR,2
20072008,CAR,2
20082009,CAR,2
20082009,CAR,3
20092010,CAR,2
20102011,CAR,2
20112012,CAR,2
20122013,CAR,2
20132014,CAR,2
20142015,CAR,2
20152016,CAR,2
20162017,CAR,2
20172018,CAR,2
20182019,CAR,2
20182019,CAR,3
20192020,CAR,2
20192020,CAR,3
20202021,CAR,2
20202021,CAR,3
20212022,CAR,2
20212022,CAR,3
20222023,CAR,3
20222023,CAR,2
20232024,CAR,2
20232024,CAR,3
20242025,CAR,2
20002001,CBJ,2
20012002,CBJ,2
20022003,CBJ,2
20032004,CBJ,2
20052006,CBJ,2
20062007,CBJ,2
20072008,CBJ,2
20082009,CBJ,2
20082009,CBJ,3
20092010,CBJ,2
20102011,CBJ,2
20112012,CBJ,2
20122013,CBJ,2
20132014,CBJ,3
20132014,CBJ,2
20142015,CBJ,2
20152016,CBJ,2
20162017,CBJ,2
20162017,CBJ,3
20172018,CBJ,3
20172018,CBJ,2
20182019,CBJ,3
20182019,CBJ,2
20192020,CBJ,2
20192020,CBJ,3
20202021,CBJ,2
20212022,CBJ,2
20222023,CBJ,2
20232024,CBJ,2
20242025,CBJ,2
19701971,CGS,2
19711972,CGS,2
19721973,CGS,2
19731974,CGS,2
19741975,CGS,2
19751976,CGS,2
19801981,CGY,2
19801981,CGY,3
19811982,CGY,2
19811982,CGY,3
19821983,CGY,2
19821983,CGY,3
19831984,CGY,2
19831984,CGY,3
19841985,CGY,3
19841985,CGY,2
19851986,CGY,2
19851986,CGY,3
19861987,CGY,3
19861987,CGY,2
19871988,CGY,3
19871988,CGY,2
19881989,CGY,3
19881989,CGY,2
19891990,CGY,2
19891990,CGY,3
19901991,CGY,2
19901991,CGY,3
19911992,CGY,2
19921993,CGY,3
19921993,CGY,2
19931994,CGY,3
19931994,CGY,2
19941995,CGY,2
19941995,CGY,3
19951996,CGY,2
19951996,CGY,3
19961997,CGY,2
19971998,CGY,2
19981999,CGY,2
19992000,CGY,2
20002001,CGY,2
20012002,CGY,2
20022003,CGY,2
20032004,CGY,3
20032004,CGY,2
20052006,CGY,3
20052006,CGY,2
20062007,CGY,3
20062007,CGY,2
20072008,CGY,2
20072008,CGY,3
20082009,CGY,3
20082009,CGY,2
20092010,CGY,2
20102011,CGY,2
20112012,CGY,2
20122013,CGY,2
20132014,CGY,2
20142015,CGY,2
20142015,CGY,3
20152016,CGY,2
20162017,CGY,2
20162017,CGY,3
20172018,CGY,2
20182019,CGY,3
20182019,CGY,2
20192020,CGY,2
20192020,CGY,3
20202021,CGY,2
20212022,CGY,3
20212022,CGY,2
20222023,CGY,2
20232024,CGY,2
20242025,CGY,2
19261927,CHI,2
19261927,CHI,3
19271928,CHI,2
19281929,CHI,2
19291930,CHI,3
19291930,CHI,2
19301931,CHI,3
19301931,CHI,2
19311932,CHI,2
19311932,CHI,3
19321933,CHI,2
19331934,CHI,3
19331934,CHI,2
19341935,CHI,2
19341935,CHI,3
19351936,CHI,3
19351936,CHI,2
19361937,CHI,2
19371938,CHI,2
19371938,CHI,3
19381939,CHI,2
19391940,CHI,2
19391940,CHI,3
19401941,CHI,3
19401941,CHI,2
19411942,CHI,2
19411942,CHI,3
19421943,CHI,2
19431944,CHI,3
19431944,CHI,2
19441945,CHI,2
19451946,CHI,3
19451946,CHI,2
19461947,CHI,2
19471948,CHI,2
19481949,CHI,2
19491950,CHI,2
19501951,CHI,2
19511952,CHI,2
19521953,CHI,3
19521953,CHI,2
19531954,CHI,2
19541955,CHI,2
19551956,CHI,2
19561957,CHI,2
19571958,CHI,2
19581959,CHI,2
19581959,CHI,3
19591960,CHI,2
19591960,CHI,3
19601961,CHI,2
19601961,CHI,3
19611962,CHI,2
19611962,CHI,3
19621963,CHI,2
19621963,CHI,3
19631964,CHI,2
19631964,CHI,3
19641965,CHI,2
19641965,CHI,3
19651966,CHI,2
19651966,CHI,3
19661967,CHI,3
19661967,CHI,2
19671968,CHI,3
19671968,CHI,2
19681969,CHI,2
19691970,CHI,2
19691970,CHI,3
19701971,CHI,2
19701971,CHI,3
19711972,CHI,3
19711972,CHI,2
19721973,CHI,2
19721973,CHI,3
19731974,CHI,2
19731974,CHI,3
19741975,CHI,2
19741975,CHI,3
19751976,CHI,3
19751976,CHI,2
19761977,CHI,2
19771978,CHI,2
19771978,CHI,3
19781979,CHI,3
19781979,CHI,2
19791980,CHI,3
19791980,CHI,2
19801981,CHI,3
19801981,CHI,2
19811982,CHI,2
19811982,CHI,3
19821983,CHI,3
19821983,CHI,2
19831984,CHI,2
19831984,CHI,3
19841985,CHI,3
19841985,CHI,2
19851986,CHI,2
19851986,CHI,3
19861987,CHI,3
19861987,CHI,2
19871988,CHI,3
19871988,CHI,2
19881989,CHI,2
19881989,CHI,3
19891990,CHI,2
19891990,CHI,3
19901991,CHI,2
19901991,CHI,3
19911992,CHI,3
19911992,CHI,2
19921993,CHI,3
19921993,CHI,2
19931994,CHI,3
19931994,CHI,2
19941995,CHI,3
19941995,CHI,2
19951996,CHI,2
19951996,CHI,3
19961997,CHI,3
19961997,CHI,2
19971998,CHI,2
19981999,CHI,2
19992000,CHI,2
20002001,CHI,2
20012002,CHI,3
20012002,CHI,2
20022003,CHI,2
20032004,CHI,2
20052006,CHI,2
20062007,CHI,2
20072008,CHI,2
20082009,CHI,2
20082009,CHI,3
20092010,CHI,3
20092010,CHI,2
20102011,CHI,3
20102011,CHI,2
20112012,CHI,2
20112012,CHI,3
20122013,CHI,3
20122013,CHI,2
20132014,CHI,3
20132014,CHI,2
20142015,CHI,2
20142015,CHI,3
20152016,CHI,2
20152016,CHI,3
20162017,CHI,2
20162017,CHI,3
20172018,CHI,2
20182019,CHI,2
20192020,CHI,3
20192020,CHI,2
20202021,CHI,2
20212022,CHI,2
20222023,CHI,2
20232024,CHI,2
20242025,CHI,2
19761977,CLE,2
19771978,CLE,2
19761977,CLR,2
19771978,CLR,3
19771978,CLR,2
19781979,CLR,2
19791980,CLR,2
19801981,CLR,2
19811982,CLR,2
19951996,COL,2
19951996,COL,3
19961997,COL,2
19961997,COL,3
19971998,COL,2
19971998,COL,3
19981999,COL,3
19981999,COL,2
19992000,COL,2
19992000,COL,3
20002001,COL,3
20002001,COL,2
20012002,COL,2
20012002,COL,3
20022003,COL,3
20022003,COL,2
20032004,COL,2
20032004,COL,3
20052006,COL,3
20052006,COL,2
20062007,COL,2
20072008,COL,3
20072008,COL,2
20082009,COL,2
20092010,COL,2
20092010,COL,3
20102011,COL,2
20112012,COL,2
20122013,COL,2
20132014,COL,3
20132014,COL,2
20142015,COL,2
20152016,COL,2
20162017,COL,2
20172018,COL,2
20172018,COL,3
20182019,COL,2
20182019,COL,3
20192020,COL,3
20192020,COL,2
20202021,COL,3
20202021,COL,2
20212022,COL,2
20212022,COL,3
20222023,COL,2
20222023,COL,3
20232024,COL,2
20232024,COL,3
20242025,COL,2
19931994,DAL,3
19931994,DAL,2
19941995,DAL,3
19941995,DAL,2
19951996,DAL,2
19961997,DAL,2
19961997,DAL,3
19971998,DAL,3
19971998,DAL,2
19981999,DAL,2
19981999,DAL,3
19992000,DAL,3
19992000,DAL,2
20002001,DAL,2
20002001,DAL,3
20012002,DAL,2
20022003,DAL,3
20022003,DAL,2
20032004,DAL,3
20032004,DAL,2
20052006,DAL,3
20052006,DAL,2
20062007,DAL,2
20062007,DAL,3
20072008,DAL,2
20072008,DAL,3
20082009,DAL,2
20092010,DAL,2
20102011,DAL,2
20112012,DAL,2
20122013,DAL,2
20132014,DAL,3
20132014,DAL,2
20142015,DAL,2
20152016,DAL,2
20152016,DAL,3
20162017,DAL,2
20172018,DAL,2
20182019,DAL,2
20182019,DAL,3
20192020,DAL,2
20192020,DAL,3
20202021,DAL,2
20212022,DAL,2
20212022,DAL,3
20222023,DAL,3
20222023,DAL,2
20232024,DAL,2
20232024,DAL,3
20242025,DAL,2
19261927,DCG,2
19271928,DCG,2
19281929,DCG,2
19281929,DCG,3
19291930,DCG,2
19321933,DET,2
19321933,DET,3
19331934,DET,2
19331934,DET,3
19341935,DET,2
19351936,DET,2
19351936,DET,3
19361937,DET,3
19361937,DET,2
19371938,DET,2
19381939,DET,3
19381939,DET,2
19391940,DET,2
19391940,DET,3
19401941,DET,2
19401941,DET,3
19411942,DET,3
19411942,DET,2
19421943,DET,3
19421943,DET,2
19431944,DET,3
19431944,DET,2
19441945,DET,2
19441945,DET,3
19451946,DET,2
19451946,DET,3
19461947,DET,2
19461947,DET,3
19471948,DET,2
19471948,DET,3
19481949,DET,3
19481949,DET,2
19491950,DET,3
19491950,DET,2
19501951,DET,2
19501951,DET,3
19511952,DET,3
19511952,DET,2
19521953,DET,2
19521953,DET,3
19531954,DET,3
19531954,DET,2
19541955,DET,2
19541955,DET,3
19551956,DET,2
19551956,DET,3
19561957,DET,2
19561957,DET,3
19571958,DET,2
19571958,DET,3
19581959,DET,2
19591960,DET,3
19591960,DET,2
19601961,DET,2
19601961,DET,3
19611962,DET,2
19621963,DET,3
19621963,DET,2
19631964,DET,3
19631964,DET,2
19641965,DET,2
19641965,DET,3
19651966,DET,3
19651966,DET,2
19661967,DET,2
19671968,DET,2
19681969,DET,2
19691970,DET,3
19691970,DET,2
19701971,DET,2
19711972,DET,2
19721973,DET,2
19731974,DET,2
19741975,DET,2
19751976,DET,2
19761977,DET,2
19771978,DET,3
19771978,DET,2
19781979,DET,2
19791980,DET,2
19801981,DET,2
19811982,DET,2
19821983,DET,2
19831984,DET,2
19831984,DET,3
19841985,DET,2
19841985,DET,3
19851986,DET,2
19861987,DET,3
19861987,DET,2
19871988,DET,3
19871988,DET,2
19881989,DET,2
19881989,DET,3
19891990,DET,2
19901991,DET,2
19901991,DET,3
19911992,DET,3
19911992,DET,2
19921993,DET,2
19921993,DET,3
19931994,DET,2
19931994,DET,3
19941995,DET,3
19941995,DET,2
19951996,DET,2
19951996,DET,3
19961997,DET,2
19961997,DET,3
19971998,DET,2
19971998,DET,3
19981999,DET,3
19981999,DET,2
19992000,DET,3
19992000,DET,2
20002001,DET,3
20002001,DET,2
20012002,DET,2
20012002,DET,3
20022003,DET,3
20022003,DET,2
20032004,DET,3
20032004,DET,2
20052006,DET,3
20052006,DET,2
20062007,DET,3
20062007,DET,2
20072008,DET,2
20072008,DET,3
20082009,DET,2
20082009,DET,3
20092010,DET,3
20092010,DET,2
20102011,DET,3
20102011,DET,2
20112012,DET,2
20112012,DET,3
20122013,DET,2
20122013,DET,3
20132014,DET,3
20132014,DET,2
20142015,DET,2
20142015,DET,3
20152016,DET,3
20152016,DET,2
20162017,DET,2
20172018,DET,2
20182019,DET,2
20192020,DET,2
20202021,DET,2
20212022,DET,2
20222023,DET,2
20232024,DET,2
20242025,DET,2
19301931,DFL,2
19311932,DFL,2
19311932,DFL,3
19791980,EDM,2
19791980,EDM,3
19801981,EDM,2
19801981,EDM,3
19811982,EDM,3
